state,collection_date,ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total ICU Beds,Total LL,Total UL,Deaths,Negative tests,Positive Tests,Total Tests,
WI,2020-10-22,1065,1063,1067,66.52,66.17,66.87,1601,1599,1603,1725,1730646,195823,2965073,
WV,2020-10-22,474,474,474,75.36,75.36,75.36,629,609,649,418,684094,21057,705151,
WY,2020-10-22,49,47,51,42.24,33.72,50.76,116,111,121,68,111822,10119,253894,
AK,2020-10-23,95,95,95,67.86,67.86,67.86,140,140,140,68,540579,12167,552746,
AL,2020-10-23,1250,1250,1250,83.72,83.72,83.72,1493,1493,1493,2859,1133858,180916,1289773,
AR,2020-10-23,758,703,813,74.95,58.33,91.57,1002,940,1064,1782,1170162,104135,1267501,
AZ,2020-10-23,1026,1023,1029,52.97,52.15,53.78,1937,1928,1946,5865,1450981,235882,2644780,
CA,2020-10-23,5436,5429,5443,71.97,71.62,72.32,7553,7541,7565,17262,16596428,886865,17483293,
CO,2020-10-23,856,818,894,69.82,59.18,80.46,1226,1169,1283,2211,1039329,91572,1790404,
CT,2020-10-23,524,524,524,50.1,50.1,50.1,1046,1046,1046,4577,2049692,66052,2115744,
DC,2020-10-23,263,263,263,69.95,69.95,69.95,376,376,376,642,469144,16609,485753,
DE,2020-10-23,147,144,150,85.47,79.1,91.83,172,167,177,678,311425,23687,523154,
FL,2020-10-23,4711,4670,4752,76.24,73.89,78.6,6179,6115,6243,16544,5093972,761924,9411692,
GA,2020-10-23,2049,1981,2117,83.23,78.12,88.33,2462,2377,2547,7766,3059864,347759,3407623,
HI,2020-10-23,138,138,138,65.71,65.71,65.71,210,210,210,206,476921,14529,491450,
IA,2020-10-23,507,503,511,72.95,70.66,75.24,695,687,703,1620,746075,106874,852949,
ID,2020-10-23,235,235,235,81.6,80.89,82.3,288,287,289,553,313067,56600,363048,
IL,2020-10-23,2198,2178,2218,59.28,57.33,61.22,3631,3598,3664,9688,6749305,368746,7118051,
IN,2020-10-23,1480,1466,1494,68.61,66.33,70.9,2157,2135,2179,4092,1447883,157713,2642522,
KS,2020-10-23,590,580,600,77.14,72.43,81.85,748,727,769,975,540032,76230,616262,
KY,2020-10-23,1069,1069,1069,73.32,73.32,73.32,1458,1458,1458,1396,1668983,93748,1762731,
LA,2020-10-23,1158,1143,1173,67.33,63.94,70.71,1720,1692,1748,5820,2488635,182603,2671238,
MA,2020-10-23,989,989,989,51.62,51.62,51.62,1916,1916,1916,9830,2451079,148285,5515148,
MD,2020-10-23,947,878,1016,75.85,57.71,93.98,1242,1149,1335,4078,1716603,138691,3201774,
ME,2020-10-23,205,205,205,64.26,64.26,64.26,319,319,319,146,568188,6095,574283,
MI,2020-10-23,2064,2055,2073,79.6,79.6,79.6,2593,2583,2603,7484,4353764,172122,4525886,
MN,2020-10-23,735,735,735,73.35,73.12,73.59,1002,1001,1003,2314,1604382,129863,2590925,
MO,2020-10-23,1537,1537,1537,70.5,70.5,70.5,2180,2180,2180,2688,1274782,164534,2363811,
MS,2020-10-23,657,657,657,87.72,87.72,87.72,749,745,753,3238,729544,113876,843420,
MT,2020-10-23,146,142,150,68.78,59.25,78.31,189,180,198,282,434497,26503,461000,
NC,2020-10-23,1941,1933,1949,80.27,78.95,81.59,2418,2403,2433,4114,3507607,255708,3763315,
ND,2020-10-23,115,115,115,81.91,81.91,81.91,94,94,94,445,243763,36058,768409,
NE,2020-10-23,432,407,457,65.75,52.4,79.1,657,618,696,587,498023,61285,847269,
NH,2020-10-23,163,163,163,57.8,57.8,57.8,282,282,282,471,316633,10112,567595,
NJ,2020-10-23,1296,1140,1452,57.78,34,81.56,2243,2018,2468,16273,4112555,234187,4346742,
NM,2020-10-23,306,296,316,82.26,74.36,90.16,372,361,383,960,1059316,40168,1099484,
NV,2020-10-23,636,636,636,73.87,73.87,73.87,861,861,861,1738,686981,93666,1185069,
NY,2020-10-23,3975,3946,4004,61.01,59.64,62.38,6479,6448,6510,25705,12982582,491771,13474353,
OH,2020-10-23,2692,2692,2692,71.37,71.37,71.37,3772,3772,3772,5184,3905328,192948,4098276,
OK,2020-10-23,823,764,882,68.76,50.37,87.14,1197,1094,1300,1234,1397696,113856,1511552,
OR,2020-10-23,491,491,491,62.87,62.87,62.87,781,781,781,646,765191,40810,1328282,
PA,2020-10-23,3058,3033,3083,80.34,78.03,82.64,3697,3661,3733,8625,2200868,190579,2391447,
RI,2020-10-23,141,141,141,89.24,89.24,89.24,158,158,158,1177,382732,30118,1034572,
SC,2020-10-23,1005,937,1073,76.83,60.63,93.04,1308,1226,1390,3777,1498952,168549,1667501,
SD,2020-10-23,154,154,154,76.24,76.24,76.24,202,202,202,356,203800,37202,241002,
TN,2020-10-23,1699,1661,1737,82.88,79.16,86.6,2050,1999,2101,3076,3236982,241513,3478495,
TX,2020-10-23,5885,5697,6073,78.87,71.16,86.57,7462,7242,7682,17375,7078511,851572,7930083,
UT,2020-10-23,416,416,416,64.67,64.67,64.67,617,614,620,567,882628,101509,1305371,
VA,2020-10-23,1347,1328,1366,67.05,63.72,70.38,2009,1980,2038,3539,2300777,171284,2472061,
VT,2020-10-23,67,67,67,65.69,65.69,65.69,102,102,102,58,179258,2029,376997,
WA,2020-10-23,919,917,921,68.76,68.12,69.4,1066,1063,1069,2289,2191844,104431,2296275,
WI,2020-10-23,1068,1046,1090,66.58,61.66,71.51,1604,1569,1639,1774,1744072,200466,3005516,
WV,2020-10-23,480,480,480,76.31,76.31,76.31,629,607,651,422,688965,21392,710357,
WY,2020-10-23,45,45,45,38.79,37.37,40.22,116,115,117,68,113686,10545,257821,
AK,2020-10-24,87,87,87,63.5,63.5,63.5,137,137,137,68,540223,12523,552746,
AL,2020-10-24,1270,1265,1274,85.26,84.22,86.29,1489,1483,1495,2866,1138922,183276,1295868,
AR,2020-10-24,749,719,779,72.81,65.78,79.84,1029,1019,1038,1797,1181805,105318,1280018,
AZ,2020-10-24,1068,1055,1081,55.81,53.42,58.19,1914,1894,1934,5869,1462194,236772,2667371,
CA,2020-10-24,4892,4875,4910,68.53,67.74,69.31,7140,7117,7162,17311,16716369,892810,17609179,
CO,2020-10-24,829,815,843,66.73,62.88,70.57,1242,1222,1262,2218,1050755,93400,1818196,
CT,2020-10-24,529,529,529,50.57,50.57,50.57,1046,1046,1046,4577,2049692,66052,2115744,
DC,2020-10-24,261,261,261,69.6,69.6,69.6,375,375,375,642,474847,16706,491553,
DE,2020-10-24,138,138,138,81.18,81.18,81.18,170,170,170,680,313429,23847,528430,
FL,2020-10-24,4728,4708,4747,74.29,73.26,75.31,6364,6337,6391,16620,5161810,766305,9532175,
GA,2020-10-24,2128,2113,2143,80.97,78.88,83.07,2628,2604,2653,7808,3076505,349605,3426110,
HI,2020-10-24,147,136,158,64.19,45.98,82.4,229,209,249,209,481624,14669,496293,
IA,2020-10-24,476,476,476,69.49,69.49,69.49,685,685,685,1631,750905,108514,859419,
ID,2020-10-24,210,209,211,73.37,71.35,75.38,286,283,289,562,315145,57673,366047,
IL,2020-10-24,2183,2149,2217,57.47,54.47,60.47,3777,3726,3828,9751,6826661,374907,7201568,
IN,2020-10-24,1463,1452,1474,67.89,66.08,69.69,2155,2138,2172,4118,1457877,160454,2681197,
KS,2020-10-24,562,500,623,70.36,47.67,93.05,798,735,861,975,540032,76230,616262,
KY,2020-10-24,1125,1111,1139,74.45,74.45,74.45,1511,1511,1511,1404,1689706,95480,1785186,
LA,2020-10-24,1170,1153,1187,66.5,63.28,69.72,1759,1737,1782,5820,2488635,182603,2671238,
MA,2020-10-24,976,976,977,50.97,50.97,50.97,1916,1916,1916,9839,2469119,149488,5585169,
MD,2020-10-24,906,898,914,74.24,72.28,76.2,1220,1212,1229,4091,1727440,139487,3234284,
ME,2020-10-24,207,207,208,65.4,64.5,66.31,317,315,319,146,568188,6137,574325,
MI,2020-10-24,1982,1957,2007,77.68,74.66,80.7,2551,2521,2581,7522,4404379,175612,4579991,
MN,2020-10-24,729,729,729,72.72,67.92,77.52,1002,974,1031,2328,1611993,132122,2625390,
MO,2020-10-24,1486,1485,1488,67.88,67.88,67.88,2190,2190,2190,2801,1282563,167452,2388281,
MS,2020-10-24,640,626,654,86.37,80.72,92.02,741,725,757,3255,729544,115088,844632,
MT,2020-10-24,149,149,149,69.84,68.85,70.84,189,168,210,294,436890,27142,464032,
NC,2020-10-24,1856,1845,1866,76.96,75.91,78.01,2411,2405,2417,4144,3550785,258292,3809077,
ND,2020-10-24,115,94,137,56.48,16.83,96.13,204,166,242,453,244794,37025,775786,
NE,2020-10-24,404,401,408,65.22,63.23,67.2,620,614,626,591,501765,62510,862880,
NH,2020-10-24,161,161,161,57.09,56.2,57.98,282,280,284,473,319429,10238,574187,
NJ,2020-10-24,1347,1326,1368,60.79,57.95,63.62,2216,2194,2238,16281,4112555,236393,4348948,
NM,2020-10-24,313,297,329,83.02,70.88,95.17,377,360,394,965,1068055,41040,1109095,
NV,2020-10-24,621,621,621,72.13,72.13,72.13,861,861,861,1743,688895,94812,1196111,
NY,2020-10-24,4091,4019,4163,60.4,56.83,63.96,6774,6675,6873,25718,13137461,493832,13631293,
OH,2020-10-24,2686,2674,2697,71.31,70.29,72.33,3766,3750,3782,5206,3953563,195806,4149369,
OK,2020-10-24,803,800,806,67.17,66.26,68.07,1195,1190,1200,1245,1417024,115685,1532709,
OR,2020-10-24,504,495,513,64.95,61.17,68.73,776,764,788,649,773853,41348,1347047,
PA,2020-10-24,2981,2929,3033,78.7,73.97,83.43,3788,3712,3864,8654,2215057,192622,2407679,
RI,2020-10-24,140,140,140,86.42,86.42,86.42,162,162,162,1183,385492,30583,1053254,
SC,2020-10-24,978,978,978,74.92,74.92,74.92,1305,1305,1305,3793,1509743,169341,1679084,
SD,2020-10-24,156,155,156,76.98,76.29,77.68,202,202,202,366,205539,38141,243680,
TN,2020-10-24,1710,1710,1710,77.29,77.29,77.29,2105,2015,2195,3100,3261053,244087,3505140,
TX,2020-10-24,5788,5724,5851,83.59,80.97,86.21,6924,6854,6995,17456,7141469,858071,7999540,
UT,2020-10-24,427,427,427,67.03,62.96,71.11,637,621,653,568,889617,103117,1318345,
VA,2020-10-24,1333,1272,1395,66.3,56.09,76.51,2011,1925,2097,3578,2316645,172372,2489017,
VT,2020-10-24,64,64,64,62.75,62.75,62.75,102,102,102,58,180871,2057,381875,
WA,2020-10-24,915,904,925,67.51,64.32,70.7,1087,995,1179,2296,2213651,105280,2318931,
WI,2020-10-24,1045,1039,1052,65.3,63.97,66.62,1601,1592,1610,1803,1757630,205139,3046677,
WV,2020-10-24,468,468,468,74.4,74.4,74.4,629,629,629,422,693978,21712,715690,
WY,2020-10-24,55,52,57,47.05,37.94,56.17,116,110,122,68,113686,10805,258810,
AK,2020-10-25,92,92,92,67.15,67.15,67.15,137,137,137,68,546928,13041,559969,
AL,2020-10-25,1223,1219,1227,81.1,80.28,81.92,1508,1503,1513,2866,1144785,184355,1302666,
AR,2020-10-25,737,707,767,72.47,65.48,79.46,1017,1011,1023,1812,1189120,106115,1288000,
AZ,2020-10-25,1004,987,1021,52.5,49.38,55.62,1912,1887,1937,5874,1473706,238163,2681115,
CA,2020-10-25,4750,4736,4764,67.05,66.46,67.65,7084,7069,7099,17345,16889856,898029,17787885,
CO,2020-10-25,812,797,826,65.67,61.64,69.7,1236,1215,1257,2223,1061145,95089,1842254,
CT,2020-10-25,497,497,497,47.51,47.51,47.51,1046,1046,1046,4577,2049692,66052,2115744,
DC,2020-10-25,253,253,253,68.01,68.01,68.01,372,372,372,642,479465,16767,496232,
DE,2020-10-25,130,130,130,77.38,77.38,77.38,168,168,168,681,315380,23961,533212,
FL,2020-10-25,4530,4517,4544,71.28,70.46,72.09,6356,6332,6380,16632,5174087,768653,9582390,
GA,2020-10-25,2113,2066,2160,80.07,74.9,85.24,2639,2590,2688,7809,3094109,350923,3445032,
HI,2020-10-25,144,132,157,63.38,44.15,82.61,228,210,246,212,485698,14758,500456,
IA,2020-10-25,472,472,472,67.82,67.82,67.82,696,696,696,1634,753704,109657,863361,
ID,2020-10-25,191,190,191,66.43,65.73,67.14,287,286,288,572,316833,58694,368569,
IL,2020-10-25,2119,2086,2151,56,53.05,58.95,3763,3713,3813,9775,6894696,378969,7273665,
IN,2020-10-25,1448,1442,1455,67.21,66.11,68.31,2155,2144,2166,4130,1466861,162607,2711078,
KS,2020-10-25,546,541,550,68.36,64.69,72.02,798,781,815,975,540032,76230,616262,
KY,2020-10-25,1113,1113,1113,73.66,73.66,73.66,1511,1511,1511,1407,1688244,96942,1785186,
LA,2020-10-25,1137,1120,1154,64.98,61.88,68.08,1750,1728,1771,5837,2513932,183575,2697507,
MA,2020-10-25,914,911,916,47.78,46.87,48.69,1912,1901,1923,9864,2485042,150565,5668015,
MD,2020-10-25,913,910,916,74.43,73.75,75.11,1227,1224,1230,4096,1738650,140279,3266149,
ME,2020-10-25,200,199,201,62.79,61.62,63.95,318,316,320,146,568188,6201,574389,
MI,2020-10-25,1967,1949,1986,77.01,74.72,79.29,2554,2532,2577,7522,4404379,175612,4579991,
MN,2020-10-25,704,704,704,70.33,70.33,70.33,1001,1001,1001,2349,1636931,133802,2660323,
MO,2020-10-25,1466,1463,1468,67.07,66.8,67.34,2185,2185,2185,2805,1289345,169495,2406847,
MS,2020-10-25,626,620,633,85.01,81.8,88.21,737,727,747,3255,729544,115088,844632,
MT,2020-10-25,142,141,143,67.2,65.3,69.1,189,169,209,297,437727,27880,465607,
NC,2020-10-25,1859,1857,1861,77.04,76.75,77.34,2413,2410,2416,4157,3584354,260099,3844453,
ND,2020-10-25,109,82,137,54.72,2.43,107.01,200,150,249,461,245691,37874,784157,
NE,2020-10-25,388,384,393,62.91,60.43,65.4,617,610,624,595,504211,63215,869163,
NH,2020-10-25,149,148,150,52.84,51.28,54.39,282,280,284,473,321865,10328,579186,
NJ,2020-10-25,1331,1331,1331,59.61,59.61,59.61,2233,2233,2233,16285,4157414,237800,4395214,
NM,2020-10-25,298,289,308,79.39,73.17,85.6,376,370,382,967,1076981,41863,1118844,
NV,2020-10-25,624,624,624,72.9,68.98,76.81,856,836,876,1748,692166,95703,1204746,
NY,2020-10-25,3986,3917,4054,58.98,55.79,62.17,6758,6678,6838,25730,13256659,495464,13752123,
OH,2020-10-25,2593,2582,2604,68.83,67.91,69.76,3767,3753,3781,5206,4001899,198115,4200014,
OK,2020-10-25,771,766,777,64.6,63.18,66.02,1194,1188,1200,1249,1417024,116736,1533760,
OR,2020-10-25,487,485,489,62.6,60.76,64.43,778,770,786,653,779403,41739,1360636,
PA,2020-10-25,2910,2902,2918,77.55,75.6,79.49,3753,3713,3793,8666,2229977,194288,2424265,
RI,2020-10-25,131,131,131,79.39,79.39,79.39,165,165,165,1183,387563,30857,1063217,
SC,2020-10-25,951,951,951,73.08,73.08,73.08,1301,1301,1301,3802,1535736,170678,1706414,
SD,2020-10-25,167,167,167,82.67,82.67,82.67,202,202,202,375,206727,39203,245930,
TN,2020-10-25,1673,1673,1673,75.77,75.77,75.77,2097,2007,2187,3131,3299149,247587,3546736,
TX,2020-10-25,5646,5624,5667,82.4,81.63,83.17,6852,6819,6884,17504,7174318,862375,8036693,
UT,2020-10-25,379,379,379,60.74,56.78,64.7,624,608,640,572,896357,104882,1329460,
VA,2020-10-25,1298,1237,1359,64.59,54.38,74.81,2009,1923,2095,3579,2336742,173371,2510113,
VT,2020-10-25,59,59,59,57.84,57.84,57.84,102,102,102,58,181642,2087,388466,
WA,2020-10-25,886,843,929,66.24,52.8,79.68,1073,966,1180,2296,2254272,106115,2360387,
WI,2020-10-25,986,980,993,61.96,60.68,63.23,1592,1584,1600,1813,1768026,208917,3075804,
WV,2020-10-25,474,474,474,75.36,75.36,75.36,629,629,629,423,701301,21906,723207,
WY,2020-10-25,53,48,57,45.55,29.22,61.88,116,106,126,68,113686,11041,259404,
AK,2020-10-26,82,82,82,64.57,64.57,64.57,127,127,127,68,557453,13391,570844,
AL,2020-10-26,1268,1265,1271,83.86,83.19,84.54,1512,1508,1516,2866,1148993,185322,1307694,
AR,2020-10-26,754,753,755,73.9,73.18,74.61,1020,1016,1024,1833,1195435,106727,1294845,
AZ,2020-10-26,970,963,978,51.19,49.79,52.58,1896,1884,1908,5875,1481321,238964,2690075,
CA,2020-10-26,4714,4712,4715,66.33,66.25,66.41,7106,7103,7109,17357,17081819,901010,17982829,
CO,2020-10-26,804,790,819,66.22,62.34,70.11,1214,1195,1233,2226,1078050,97300,1874101,
CT,2020-10-26,490,490,490,46.85,46.85,46.85,1046,1046,1046,4589,2139838,68099,2207937,
DC,2020-10-26,246,246,246,68.91,68.91,68.91,357,357,357,642,481378,16812,498190,
DE,2020-10-26,129,129,129,76.79,76.79,76.79,168,168,168,685,317903,24168,539399,
FL,2020-10-26,4521,4517,4525,71.29,71.01,71.57,6342,6333,6351,16652,5202736,771989,9638950,
GA,2020-10-26,2097,2059,2135,79.1,74.65,83.56,2651,2606,2696,7827,3109507,351881,3461388,
HI,2020-10-26,144,131,157,63.16,46.11,80.21,228,214,242,212,490378,14877,505255,
IA,2020-10-26,480,480,480,70.18,70.18,70.18,684,684,684,1648,755919,110404,866323,
ID,2020-10-26,191,191,191,68.21,68.21,68.21,280,280,280,573,318479,59344,370741,
IL,2020-10-26,2104,2077,2131,55.55,53.01,58.1,3787,3744,3830,9792,6947231,383698,7330929,
IN,2020-10-26,1412,1397,1427,65.44,63.28,67.6,2158,2140,2176,4143,1473651,164581,2734945,
KS,2020-10-26,559,558,560,71.94,69.25,74.64,777,765,789,976,547255,78676,625931,
KY,2020-10-26,1102,1100,1104,72.88,72.88,72.88,1512,1512,1512,1410,1712005,97866,1809871,
LA,2020-10-26,1140,1123,1157,65.07,61.81,68.33,1752,1728,1776,5854,2518764,183802,2702566,
MA,2020-10-26,927,927,927,48.48,48.48,48.48,1912,1912,1912,9881,2503912,151777,5723873,
MD,2020-10-26,912,912,912,73.19,73.19,73.19,1246,1246,1246,4099,1747527,140844,3287956,
ME,2020-10-26,203,203,203,63.84,63.84,63.84,318,318,318,146,582399,6254,588653,
MI,2020-10-26,1926,1907,1945,76.21,73.9,78.52,2527,2504,2550,7552,4472719,179669,4652388,
MN,2020-10-26,686,686,686,68.67,68.67,68.67,999,999,999,2353,1648940,135372,2684014,
MO,2020-10-26,1481,1481,1481,68.31,68.31,68.31,2168,2168,2168,2810,1294927,171022,2420611,
MS,2020-10-26,627,627,627,85.07,85.07,85.07,737,737,737,3263,729544,115763,845307,
MT,2020-10-26,158,158,158,71.72,71.72,71.72,198,178,218,303,447824,28501,476325,
NC,2020-10-26,1867,1867,1867,77.28,77.28,77.28,2416,2416,2416,4170,3611171,261742,3872913,
ND,2020-10-26,110,80,141,54.78,-2.56,112.13,202,147,256,467,246237,38406,790536,
NE,2020-10-26,383,383,383,62.48,62.48,62.48,613,613,613,596,506037,63797,873565,
NH,2020-10-26,143,143,143,50.71,50.71,50.71,282,282,282,475,323367,10397,585210,
NJ,2020-10-26,1318,1318,1318,59.88,59.88,59.88,2201,2201,2201,16292,4225550,239295,4464845,
NM,2020-10-26,307,302,313,81.31,77.31,85.3,378,373,383,976,1082336,42586,1124922,
NV,2020-10-26,605,605,605,70.51,70.51,70.51,858,858,858,1749,695143,96178,1212437,
NY,2020-10-26,3964,3915,4013,58.7,56.42,60.98,6753,6697,6809,25742,13337585,496655,13834240,
OH,2020-10-26,2614,2605,2622,69.07,68.36,69.78,3784,3773,3795,5217,4043190,200231,4243421,
OK,2020-10-26,778,778,778,65.82,65.62,66.02,1182,1181,1183,1251,1417024,117399,1534423,
OR,2020-10-26,466,466,466,61.06,58.29,63.84,763,750,777,653,783149,42101,1372760,
PA,2020-10-26,2822,2816,2828,74.13,73.2,75.05,3807,3788,3826,8673,2241430,195695,2437125,
RI,2020-10-26,135,135,135,83.85,83.85,83.85,161,161,161,1184,388868,31024,1067142,
SC,2020-10-26,945,945,945,73.3,73.3,73.3,1289,1289,1289,3823,1561731,171501,1733232,
SD,2020-10-26,146,146,146,73.74,73.74,73.74,198,198,198,375,207353,39741,247094,
TN,2020-10-26,1702,1687,1718,77.68,75.44,79.92,2092,2005,2180,3163,3319569,249866,3569435,
TX,2020-10-26,5608,5593,5624,81.46,81,81.92,6885,6858,6912,17514,7196213,867075,8063288,
UT,2020-10-26,372,372,372,59.62,55.76,63.47,624,608,640,574,900719,106083,1334119,
VA,2020-10-26,1278,1278,1278,63.9,63.9,63.9,2000,2000,2000,3581,2351146,174275,2525421,
VT,2020-10-26,68,68,68,66.67,66.67,66.67,102,102,102,58,182057,2096,389237,
WA,2020-10-26,861,851,871,64.19,61.15,67.23,1078,990,1166,2296,2253683,106704,2360387,
WI,2020-10-26,1024,1021,1026,64.21,63.82,64.6,1594,1593,1596,1824,1777892,211928,3103682,
WV,2020-10-26,452,452,452,71.86,71.86,71.86,629,629,629,424,714153,22223,736376,
WY,2020-10-26,51,44,58,44.04,21.7,66.37,116,106,126,77,113686,11477,265459,
AK,2020-10-27,92,89,94,72.05,64.92,79.17,127,122,132,70,563650,13779,577429,
AL,2020-10-27,1286,1286,1286,86.6,86.6,86.6,1485,1485,1485,2892,1153448,186437,1312887,
AR,2020-10-27,777,777,777,75.68,75.68,75.68,1027,1026,1027,1857,1203175,107679,1303236,
AZ,2020-10-27,1020,1020,1021,52.6,52.27,52.94,1940,1936,1944,5891,1490040,240122,2718140,
CA,2020-10-27,4989,4987,4991,69.34,69.22,69.46,7195,7191,7199,17400,17222851,904198,18127049,
CO,2020-10-27,853,819,887,69.13,62.03,76.23,1234,1215,1252,2236,1085021,98733,1892949,
CT,2020-10-27,510,510,510,48.39,48.39,48.39,1054,1054,1054,4595,2152397,68637,2221034,
DC,2020-10-27,258,258,258,71.47,71.47,71.47,361,361,361,644,485632,16906,502538,
DE,2020-10-27,138,138,138,82.14,82.14,82.14,168,168,168,686,318892,24249,542722,
FL,2020-10-27,4738,4713,4764,74.29,73.03,75.55,6378,6347,6409,16709,5215423,776215,9703491,
GA,2020-10-27,2149,2137,2161,80.91,79.4,82.42,2656,2639,2673,7844,3121519,353372,3474891,
HI,2020-10-27,153,141,165,67.4,67.4,67.4,227,227,227,212,493576,14914,508490,
IA,2020-10-27,523,523,523,76.46,76.46,76.46,684,684,684,1661,757759,111261,869020,
ID,2020-10-27,211,211,211,71.77,71.77,71.77,294,294,294,580,320491,60041,373337,
IL,2020-10-27,2168,2128,2208,56.97,53.09,60.85,3806,3738,3874,9838,7005305,387698,7393003,
IN,2020-10-27,1494,1482,1506,70.84,68.68,72.99,2109,2088,2130,4194,1479978,166564,2754311,
KS,2020-10-27,588,574,602,75.77,70.22,81.33,776,760,792,976,547255,78676,625931,
KY,2020-10-27,1149,1149,1149,75.99,75.99,75.99,1512,1512,1512,1428,1721591,99637,1821228,
LA,2020-10-27,1183,1171,1195,67.78,65.55,70.02,1745,1729,1761,5872,2538553,184724,2723277,
MA,2020-10-27,983,983,983,51.41,51.41,51.41,1912,1912,1912,9888,2516614,153037,5781231,
MD,2020-10-27,990,990,990,77.71,77.71,77.71,1274,1274,1274,4108,1756353,141741,3311143,
ME,2020-10-27,222,221,222,68.79,68.79,68.79,322,322,322,146,589475,6311,595786,
MI,2020-10-27,2029,2016,2043,78.51,76.88,80.13,2585,2568,2602,7585,4511126,182344,4693470,
MN,2020-10-27,744,740,747,74.2,74.2,74.2,1002,1002,1002,2368,1654542,137536,2698113,
MO,2020-10-27,1545,1544,1546,70.23,70.23,70.23,2200,2200,2200,2838,1301688,172717,2438579,
MS,2020-10-27,658,648,668,87.97,84.06,91.88,748,738,758,3283,729544,116617,846161,
MT,2020-10-27,172,172,172,77.11,77.11,77.11,201,181,221,305,451976,29346,481322,
NC,2020-10-27,1917,1917,1917,79.02,79.02,79.02,2426,2426,2426,4211,3626881,263883,3890764,
ND,2020-10-27,112,81,142,55.67,-2,113.33,200,146,255,481,247066,39309,796514,
NE,2020-10-27,418,418,418,68.08,67.94,68.21,614,613,615,603,508261,64499,882620,
NH,2020-10-27,150,150,150,53.19,53.19,53.19,282,282,282,475,324553,10531,590364,
NJ,2020-10-27,1368,1365,1372,62.2,61.83,62.57,2200,2200,2200,16306,4253482,241376,4494858,
NM,2020-10-27,318,315,320,83.82,81.83,85.8,379,376,382,980,1086250,43169,1129419,
NV,2020-10-27,611,610,612,72.68,72.68,72.68,841,841,841,1756,698013,96908,1220443,
NY,2020-10-27,4129,4102,4156,59.5,57.06,61.95,6939,6839,7039,25758,13447212,498646,13945858,
OH,2020-10-27,2742,2739,2745,73.08,72.86,73.3,3752,3750,3754,5239,4076492,202740,4279232,
OK,2020-10-27,787,784,790,66.41,65.62,67.2,1185,1181,1189,1273,1446067,118409,1564476,
OR,2020-10-27,482,480,484,62.69,59.48,65.9,769,754,784,655,787848,42436,1381168,
PA,2020-10-27,2956,2951,2961,77.32,76.69,77.95,3823,3811,3835,8696,2254523,198446,2452969,
RI,2020-10-27,133,133,133,84.18,84.18,84.18,158,158,158,1188,392024,31445,1077670,
SC,2020-10-27,964,963,965,73.53,73.4,73.65,1311,1311,1311,3842,1572447,172579,1745026,
SD,2020-10-27,158,158,158,77.45,77.45,77.45,204,204,204,375,208435,40730,249165,
TN,2020-10-27,1751,1751,1751,79.98,79.98,79.98,2088,2002,2174,3207,3334467,251774,3586241,
TX,2020-10-27,5795,5771,5819,83.52,82.31,84.74,6938,6902,6974,17595,7276247,874367,8150614,
UT,2020-10-27,410,409,412,65.79,61.86,69.71,624,609,639,578,906167,107228,1337238,
VA,2020-10-27,1325,1323,1327,66.15,66.15,66.15,2003,2003,2003,3600,2368106,175409,2543515,
VT,2020-10-27,72,72,72,70.59,70.59,70.59,102,102,102,58,182915,2127,390962,
WA,2020-10-27,908,865,951,68.8,55.28,82.32,1062,956,1168,2321,2265544,107052,2372596,
WI,2020-10-27,1070,1051,1089,66.92,63.04,70.79,1599,1575,1623,1895,1789158,217429,3138375,
WV,2020-10-27,467,467,467,74.01,74.01,74.01,631,631,631,432,721031,22706,743737,
WY,2020-10-27,52,51,53,44.83,41.99,47.67,116,114,118,77,113686,11806,270870,
AK,2020-10-28,94,94,94,72.31,72.31,72.31,130,130,130,71,566468,14131,580599,
AL,2020-10-28,1319,1319,1319,86.78,86.78,86.78,1520,1520,1520,2911,1159926,187706,1320306,
AR,2020-10-28,758,752,764,73.81,72.15,75.46,1027,1021,1033,1875,1212191,108640,1312942,
AZ,2020-10-28,1069,1069,1069,55.02,54.69,55.35,1943,1939,1947,5905,1495814,241165,2747224,
CA,2020-10-28,5013,4996,5030,69.66,68.79,70.54,7196,7167,7225,17475,17314883,908713,18223596,
CO,2020-10-28,848,835,860,69.01,65.7,72.33,1228,1212,1245,2249,1091650,100208,1910983,
CT,2020-10-28,533,533,533,50.57,50.57,50.57,1054,1054,1054,4604,2166246,69127,2235373,
DC,2020-10-28,268,268,268,73.02,73.02,73.02,367,367,367,644,488434,16973,505407,
DE,2020-10-28,141,141,141,81.98,81.98,81.98,172,172,172,688,320547,24392,544780,
FL,2020-10-28,4798,4778,4818,76.41,75.4,77.43,6279,6254,6305,16775,5249957,780220,9774192,
GA,2020-10-28,2189,2144,2234,83.01,78.11,87.91,2637,2592,2682,7876,3140382,355025,3495407,
HI,2020-10-28,152,141,163,64.41,52.72,76.1,236,234,238,215,497634,14978,512612,
IA,2020-10-28,512,512,512,74.31,74.31,74.31,689,689,689,1682,760320,113042,873362,
ID,2020-10-28,205,204,206,69.73,67.51,71.94,294,290,298,585,321861,60923,375400,
IL,2020-10-28,2259,2256,2262,59.51,58.69,60.33,3796,3777,3815,9889,7069947,393808,7463755,
